k,inertia,relative_inertia_improvement,n_iter,reached_max_iter,cluster_sizes,silhouette_score
1,801.0,,2,False,"{""0"": 89}",
2,564.1486205535743,0.295694606050469,2,False,"{""0"": 7, ""1"": 82}",0.5048921925098917
3,447.69171572210655,0.2064294772487323,13,False,"{""0"": 44, ""1"": 38, ""2"": 7}",0.23769224849475099
4,390.260161917112,0.12828370905269054,4,False,"{""0"": 22, ""1"": 37, ""2"": 6, ""3"": 24}",0.21399880052071296
5,339.0085811785047,0.13132670392704007,3,False,"{""0"": 23, ""1"": 34, ""2"": 23, ""3"": 6, ""4"": 3}",0.23687232818760806
6,296.2005013169139,0.12627432530697572,6,False,"{""0"": 3, ""1"": 21, ""2"": 6, ""3"": 28, ""4"": 29, ""5"": 2}",0.25025441836723955
7,253.4848243637538,0.14421203462939894,13,False,"{""0"": 30, ""1"": 6, ""2"": 30, ""3"": 1, ""4"": 3, ""5"": 17, ""6"": 2}",0.2507601949256002
8,232.98905156727255,0.08085601513986322,12,False,"{""0"": 3, ""1"": 24, ""2"": 13, ""3"": 19, ""4"": 2, ""5"": 6, ""6"": 1, ""7"": 21}",0.20218071566627355
9,215.67927417526943,0.07429438111174573,4,False,"{""0"": 18, ""1"": 23, ""2"": 5, ""3"": 21, ""4"": 1, ""5"": 15, ""6"": 2, ""7"": 2, ""8"": 2}",0.1954684470639024
10,200.89421753852724,0.06855112385405779,6,False,"{""0"": 9, ""1"": 14, ""2"": 16, ""3"": 5, ""4"": 18, ""5"": 2, ""6"": 20, ""7"": 2, ""8"": 2, ""9"": 1}",0.18090777667865995
